연번,호선,station_name,층수,형식,지반고,레일면고,선로기준정거장깊이,정거장깊이,비고,위도,경도,station_depth,underground_floors,is_island_platform,is_side_platform,is_transfer_station,line_1to4,line_5to8,risk_area_count_500m,risk_area_count_1km,nearest_risk_distance,risk_weighted_score_500m,construction_count_500m,ongoing_construction_500m,total_construction_amount_500m,avg_construction_amount_500m,subway_related_construction_500m,large_construction_500m,construction_density_500m,water_building_count_500m,total_water_output_500m,total_waste_output_500m,avg_water_output_500m,large_water_buildings_500m,max_water_output_500m,water_building_density_500m,road_construction_count_500m,ongoing_road_construction_500m,subway_related_road_500m,communication_infra_500m,water_sewer_construction_500m,major_road_construction_500m,avg_construction_duration_500m,long_term_construction_500m,road_construction_density_500m,comprehensive_risk_score,underground_activity_density,ground_disturbance_index,infrastructure_density,risk_level,underground_risk_score_norm,subway_risk_score_norm,construction_risk_score_norm,water_output_risk_score_norm,station_risk_score
12,2,을지로입구,B2,상대식,127.09,112.53,14.56,13.46,,37.565998,126.982569,14.560000000000002,1.0,0,1,0,1,0,0.0,4,714.2196977348308,0.0,3,0.2727272727272727,9.7,3.233333333333333,0.0,0.0,3.819718634205488,1.0,0.2511639899052899,6915.93,27.28116580310881,18,355.5,491.4704642677728,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.806106,922,472.5,267,Very High,0.0,0.0111111111111111,0.0545454545454545,0.4170546633017633,0.9586141856106664
13,2,을지로3가,B2,상대식,125.47,112.77,12.7,11.6,3호선환승,37.566292,126.991773,12.700000000000005,1.0,0,1,1,1,0,0.0,3,600.9495629069233,0.0,4,0.0909090909090909,192.67946,48.169865,0.0,0.5,5.092958178940651,0.4300518134715026,0.1000178644216804,3279.12,25.261686746987948,4,185.0,211.35776442603705,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.03868800000001,700,474.5,267,Medium,0.0,0.0444444444444444,0.1181818181818182,0.176689892631061,0.4901569228460762
14,2,을지로4가,B2,상대식,125.61,110.28,15.33,14.23,5호선환승,37.566611,126.998122,15.329999999999998,1.0,0,1,1,1,0,0.0,2,848.3802040487221,0.0,2,0.1818181818181818,0.0,0.0,0.0,0.0,2.546479089470325,0.0518134715025906,0.0249469851224428,610.75,52.2975,4,185.0,25.464790894703256,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.65919000000001,555,472.5,267,Low,0.0,0.0444444444444444,0.0363636363636363,0.0255868188750111,0.0989463592261446
15,2,동대문역사문화공원,B2,상대식,123.95,108.85,15.1,14.0,"4,5호선환승",37.565597,127.009113,15.100000000000009,1.0,0,1,1,1,0,0.0,0,1002.3352295347296,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678756476683938,0.0650241098139595,2666.41,19.19901408450704,6,133.1,180.8000153523931,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.49525200000001,675,472.5,267,Medium,0.0,0.0444444444444444,0.0,0.1442999191607844,0.33272175031433
16,2,신당,B2,상대식,122.43,109.04,13.39,12.29,6호선환승,37.565681,127.019488,13.39,1.0,0,1,1,1,0,0.0,0,1234.1019538308683,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38860103626943,0.183384370562963,4203.2,51.25826666666666,24,502.0,190.9859317102744,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.487748,683,472.5,267,Medium,0.0,0.0444444444444444,0.0,0.1906618022774643,0.4344017894225029
17,2,상왕십리,B2,상대식,134.38,119.21,15.17,14.07,,37.564504,127.028872,15.170000000000002,1.0,0,1,0,1,0,0.25,2,400.6305627638986,2.496065185594252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994818652849741,0.0348189265557609,1347.65,18.959090909090907,1,168.0,98.03944494460752,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.64197,610,472.5,267,Low,0.00625,0.0111111111111111,0.0,0.0781002639469116,0.1776340910889549
18,2,왕십리,B2,상대식,118.41,104.86,13.55,12.45,"5호선,분당선,경의중앙선환승",37.561159,127.035505,13.549999999999995,1.0,0,1,1,1,0,0.5,2,311.6102620978232,5.912400167918021,12,1.0,33.5,2.7916666666666665,0.0,0.0,15.278874536821952,0.194300518134715,0.0327496111685788,1245.89,18.307866666666666,0,53.0,95.4929658551372,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,83.774618,619,472.5,267,Medium,0.025,0.0444444444444444,0.2,0.0756833764344312,0.337583575168275
19,2,한양대,B2,상대식,120.76,122.78,-2.02,-3.12,,37.55658,127.043504,-2.019999999999996,1.0,0,1,0,1,0,0.0,1,702.4973439284896,0.0,1,0.0909090909090909,111.9,111.9,0.0,0.5,1.2732395447351628,0.1321243523316062,0.0710512651659757,2978.96,58.41098039215687,14,286.94,64.9352167814933,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.795792,585,474.5,267,Low,0.0,0.0111111111111111,0.1181818181818182,0.0677252058325273,0.2389932095013123
20,2,뚝섬,고가,상대식,109.75,127.72,-17.97,-19.07,,37.54718,127.047413,-17.97,1.0,0,1,0,1,0,0.0,1,972.9782651921828,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212435233160622,0.2229308098307268,7814.8,75.37741935483871,24,496.17,157.8817035471602,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.81936,657,472.5,267,Medium,0.0,0.0111111111111111,0.0,0.1813914443822629,0.4018858656043655
21,2,성수,고가,섬식,112.7,125.0,-12.3,-13.4,2호선(지선)환승,37.544628,127.055983,-12.299999999999995,1.0,1,0,1,1,0,0.0,0,1645.2466890757505,0.0,1,0.0909090909090909,0.0,0.0,0.0,0.0,1.2732395447351628,0.38860103626943,0.2289033463233994,9597.21,63.9814,34,840.17,190.9859317102744,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.119442,684,472.5,267,High,0.0,0.1,0.0181818181818181,0.2058347941976098,0.5012781695057082
